epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2765.52,1.49205,1.33965,1.67408,0.72597,0.70166,0.72986,0.32712,2.00481,1.24131,2.27783,0.000525179,0.000525179,0.000525179
43,2831.06,1.46561,1.2463,1.63611,0.69021,0.75427,0.7407,0.34106,1.95835,1.19059,2.26267,0.0005075,0.0005075,0.0005075
44,2895.25,1.45772,1.24396,1.64004,0.73311,0.76269,0.76092,0.33974,1.94629,1.13864,2.25276,0.000489821,0.000489821,0.000489821
45,2960.42,1.4184,1.2184,1.59932,0.75637,0.65921,0.72994,0.3363,1.95028,1.14691,2.24507,0.000472143,0.000472143,0.000472143
46,3024.9,1.3964,1.2064,1.58594,0.76963,0.71245,0.75662,0.34105,1.98758,1.13007,2.30195,0.000454464,0.000454464,0.000454464
47,3089.37,1.40352,1.21025,1.60434,0.72377,0.72009,0.71326,0.32107,1.98494,1.18813,2.24814,0.000436786,0.000436786,0.000436786
48,3154.6,1.37657,1.19473,1.56702,0.70307,0.71958,0.71161,0.32279,1.95751,1.18325,2.24683,0.000419107,0.000419107,0.000419107
49,3218.57,1.36802,1.13594,1.56759,0.7055,0.73494,0.72426,0.33147,1.98742,1.18605,2.33209,0.000401429,0.000401429,0.000401429
50,3283.49,1.37139,1.16372,1.57782,0.72356,0.70121,0.72534,0.32165,1.96363,1.17639,2.29825,0.00038375,0.00038375,0.00038375
51,3349.35,1.33775,1.13147,1.54974,0.72855,0.71644,0.74361,0.34068,1.93028,1.13015,2.29585,0.000366071,0.000366071,0.000366071
52,3413.47,1.33097,1.10638,1.54086,0.7295,0.72563,0.75866,0.35304,1.95717,1.12638,2.32254,0.000348393,0.000348393,0.000348393
53,3479.9,1.2981,1.1031,1.5165,0.69639,0.7202,0.72604,0.3355,1.93419,1.1679,2.28145,0.000330714,0.000330714,0.000330714
54,3544.45,1.27606,1.06585,1.49819,0.70123,0.72922,0.72418,0.32186,1.98963,1.18135,2.36873,0.000313036,0.000313036,0.000313036
55,3610.12,1.26129,1.06373,1.50186,0.68951,0.75359,0.73365,0.31856,2.03196,1.27374,2.43265,0.000295357,0.000295357,0.000295357
56,3675.8,1.25404,1.02712,1.48551,0.70542,0.72046,0.75944,0.33623,2.03174,1.17261,2.43227,0.000277679,0.000277679,0.000277679
57,3739.78,1.25472,1.04061,1.49292,0.69804,0.76601,0.7319,0.32054,2.01104,1.22173,2.4096,0.00026,0.00026,0.00026
58,3804.04,1.20233,1.0217,1.46235,0.71225,0.69457,0.71791,0.30596,2.06277,1.21833,2.51338,0.000242321,0.000242321,0.000242321
59,3867.57,1.23053,1.02452,1.45931,0.66842,0.73,0.69949,0.30378,2.0288,1.14275,2.45907,0.000224643,0.000224643,0.000224643
60,3932.62,1.22237,0.98171,1.481,0.73514,0.70719,0.7151,0.31847,2.03739,1.20294,2.46882,0.000206964,0.000206964,0.000206964
61,3999.17,1.16072,0.84172,1.56062,0.7138,0.69714,0.72015,0.3104,2.03472,1.14575,2.51988,0.000189286,0.000189286,0.000189286
62,4063.71,1.13556,0.80458,1.54016,0.686,0.72811,0.70806,0.30277,2.08009,1.21314,2.55244,0.000171607,0.000171607,0.000171607
63,4128.59,1.09921,0.76579,1.49831,0.71444,0.72407,0.73397,0.3156,2.08247,1.17664,2.56881,0.000153929,0.000153929,0.000153929
64,4191.8,1.0567,0.74279,1.4637,0.73663,0.71518,0.74628,0.30818,2.09842,1.24599,2.56361,0.00013625,0.00013625,0.00013625
65,4256.78,1.05039,0.7341,1.46837,0.68456,0.73687,0.72301,0.30239,2.09555,1.22109,2.65592,0.000118571,0.000118571,0.000118571
66,4320.48,1.02109,0.72059,1.44351,0.75694,0.71774,0.73489,0.30363,2.09896,1.21492,2.63073,0.000100893,0.000100893,0.000100893
67,4385.78,1.00696,0.70811,1.42059,0.69374,0.71843,0.73992,0.31139,2.08464,1.22075,2.65787,8.32143e-05,8.32143e-05,8.32143e-05
68,4449.74,0.97146,0.68216,1.39424,0.74263,0.73773,0.74644,0.32069,2.0873,1.17418,2.66214,6.55357e-05,6.55357e-05,6.55357e-05
69,4514.84,0.95639,0.66469,1.39154,0.76765,0.71837,0.75431,0.31589,2.09695,1.18171,2.66649,4.78571e-05,4.78571e-05,4.78571e-05
70,4578.67,0.96747,0.67763,1.37976,0.73719,0.72826,0.73644,0.31388,2.12306,1.20604,2.73624,3.01786e-05,3.01786e-05,3.01786e-05
